id	loan_count	household_income	most_popular
80264	11	0	Offices of Lawyers
80477	9	0	Other Individual and Family Services 
80544	8	0	Veterinary Services 
80290	6	0	Lessors of Nonresidential Buildings (except Miniwarehouses) 
80939	5	0	Roofing Contractors 
80488	4	0	(blank)
81612	3	0	Offices of Real Estate Agents and Brokers
81656	3	0	Full-Service Restaurants 
80293	2	0	Other Services Related to Advertising 
80468	2	0	Highway, Street, and Bridge Construction 
80423	1	0	Paint and Coating Manufacturing
80511	1	0	Hotels (except Casino Hotels) and Motels 
80929	1	0	General Freight Trucking, Local 
81210	1	0	All Other Amusement and Recreation Industries 
81131	1	24071	Religious Organizations 
80652	3	25531	Dairy Cattle and Milk Production
81334	4	27391	Other Heavy and Civil Engineering Construction 
81120	4	27989	Supermarkets and Other Grocery (except Convenience) Stores 
81044	1	29375	Farm Machinery and Equipment Manufacturing 
81143	2	30417	Other Accounting Services 
81123	2	30588	Support Activities for Forestry
81054	2	30708	Water Supply and Irrigation Systems 
81003	49	31303	Offices of Physicians (except Mental Health Specialists) 
81050	14	32081	Electric Power Distribution 
81041	1	33125	Cattle Feedlots 
81089	2	33418	Highway, Street, and Bridge Construction 
81067	5	34518	Nursing Care Facilities (Skilled Nursing Facilities) 
81004	17	34792	Home Health Care Services
81132	2	34800	Nursing Care Facilities (Skilled Nursing Facilities) 
81073	1	35000	HMO Medical Centers 
81063	3	36250	Hog and Pig Farming 
81001	27	36534	Nursing Care Facilities (Skilled Nursing Facilities) 
81501	96	36677	Offices of Physicians (except Mental Health Specialists) 
81101	28	38245	Electrical Contractors and Other Wiring Installation Contractors
81036	3	38287	General Medical and Surgical Hospitals 
81520	7	38343	Beer and Ale Merchant Wholesalers 
80910	24	38772	Offices of Physicians (except Mental Health Specialists) 
81144	14	39127	Postharvest Crop Activities (except Cotton Ginning) 
81052	14	39609	General Medical and Surgical Hospitals 
81082	12	41028	New Car Dealers 
80010	29	41076	Full-Service Restaurants 
80903	137	41195	Full-Service Restaurants 
81320	1	41382	Administration of Public Health Programs 
81039	2	41452	Other Community Housing Services 
80204	193	41473	Full-Service Restaurants 
81125	8	41895	Packing and Crating 
81422	1	42000	Solid Waste Collection 
81419	3	42043	All Other Miscellaneous Food Manufacturing 
81416	15	42176	New Car Dealers 
81324	2	42361	Residential Remodelers 
80905	54	42659	New Car Dealers 
81226	1	42684	Poured Concrete Foundation and Structure Contractors 
81252	2	43059	Hardware Stores 
